alt_text,category,episodes,genre,id,image_url,japanese_name,page,title,url
My Friend's Little Sister Has It In for Me,recently_updated,Ep 1,,my-friends-little-sister-has-it-in-for-me-17507,https://9animetv.to,Tomodachi no Imouto ga Ore ni dake Uzai,,My Friend's Little Sister Has It In for Me,https://9animetv.to/watch/my-friends-little-sister-has-it-in-for-me-17507
Ranma ½ (2024) 2nd Season,recently_updated,Ep 1,,ranma-2024-2nd-season-19926,https://9animetv.to,Ranma ½ (2024) 2nd Season,,Ranma ½ (2024) 2nd Season,https://9animetv.to/watch/ranma-2024-2nd-season-19926
Tojima Tanzaburo Wants to Be a Masked Rider,recently_updated,Ep 1,,tojima-tanzaburo-wants-to-be-a-masked-rider-19892,https://9animetv.to,Toujima Tanzaburou wa Kamen Rider ni Naritai,,Tojima Tanzaburo Wants to Be a Masked Rider,https://9animetv.to/watch/tojima-tanzaburo-wants-to-be-a-masked-rider-19892
Secrets of the Silent Witch,recently_updated,Ep 13,,secrets-of-the-silent-witch-19777,https://9animetv.to,Silent Witch: Chinmoku no Majo no Kakushigoto,,Secrets of the Silent Witch,https://9animetv.to/watch/secrets-of-the-silent-witch-19777
Touring After the Apocalypse,recently_updated,Ep 1,,touring-after-the-apocalypse-19894,https://9animetv.to,Shuumatsu Touring,,Touring After the Apocalypse,https://9animetv.to/watch/touring-after-the-apocalypse-19894
To Your Eternity Season 3,recently_updated,Ep 1,,to-your-eternity-season-3-19929,https://9animetv.to,Fumetsu no Anata e Season 3,,To Your Eternity Season 3,https://9animetv.to/watch/to-your-eternity-season-3-19929
Let This Grieving Soul Retire Part 2,recently_updated,Ep 1,,let-this-grieving-soul-retire-part-2-19925,https://9animetv.to,Nageki no Bourei wa Intai shitai Part 2,,Let This Grieving Soul Retire Part 2,https://9animetv.to/watch/let-this-grieving-soul-retire-part-2-19925
The Banished Court Magician Aims to Become the Strongest,recently_updated,Ep 1,,the-banished-court-magician-aims-to-become-the-strongest-19902,https://9animetv.to,"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezashimasu",,The Banished Court Magician Aims to Become the Strongest,https://9animetv.to/watch/the-banished-court-magician-aims-to-become-the-strongest-19902
Spy x Family Season 3,recently_updated,Ep 1,,spy-x-family-season-3-19931,https://9animetv.to,Spy x Family Season 3,,Spy x Family Season 3,https://9animetv.to/watch/spy-x-family-season-3-19931
A Wild Last Boss Appeared!,recently_updated,Ep 2,,a-wild-last-boss-appeared-19909,https://9animetv.to,Yasei no Last Boss ga Arawareta!,,A Wild Last Boss Appeared!,https://9animetv.to/watch/a-wild-last-boss-appeared-19909
